sample_number,old_id,hypoxia_batch,path,seq_batch_path,barcode_path,predicted sample,corrected predicted sample,predicted o2,predicted time,predicted ID
1,2397-2.50-24,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC1cat.fastq,1,1,2397,HG02397,2.5,24,HG02397_2.5_24
2,978-0.00-0,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC2cat.fastq,1,2,978,HG00978,ATM,0,HG00978_ATM_0
3,978-5-24,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC3cat.fastq,1,3,978,HG00978,5,24,HG00978_5_24
4,1939-ATM-48,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC4cat.fastq,1,4,1939,HG01939,ATM,48,HG01939_ATM_48
5,1918-2.50-48,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC5cat.fastq,1,5,1918,HG01918,2.5,48,HG01918_2.5_48
6,1918-5-4,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC6cat.fastq,1,6,1918,HG01918,5,4,HG01918_5_4
7,978-ATM-4,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC7cat.fastq,1,7,978,HG00978,ATM,4,HG00978_ATM_4
8,1924-2.50-24,batch1,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC8cat.fastq,1,8,1924,HG01924,2.5,24,HG01924_2.5_24
9,2397-0.00-0,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC9cat.fastq,1,9,2397,HG02397,ATM,0,HG02397_ATM_0
10,2397-5-4,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC10cat.fastq,1,10,2397,HG02397,5,4,HG02397_5_4
11,2397-5-24,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC11cat.fastq,1,11,2397,HG02397,5,24,HG02397_5_24
12,2397-ATM-4,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC12cat.fastq,1,12,2397,HG02397,ATM,4,HG02397_ATM_4
13,1924-5-48,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC13cat.fastq,1,13,1924,HG01924,5,48,HG01924_5_48
14,1566-5-48,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC14cat.fastq,1,14,1566,HG01566,5,48,HG01566_5_48
15,978-2.50-24,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC15cat.fastq,1,15,978,HG00978,2.5,24,HG00978_2.5_24
16,1918-5-48,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC16cat.fastq,1,16,1918,HG01918,5,48,HG01918_5_48
17,1924-2.50-4,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC17cat.fastq,1,17,1924,HG01924,2.5,4,HG01924_2.5_4
18,1566-ATM-24,batch2,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC18cat.fastq,1,18,1566,HG01566,ATM,24,HG01566_ATM_24
19,1939-2.50-48,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC19cat.fastq,1,19,1939,HG01939,2.5,48,HG01939_2.5_48
20,1939-ATM-24,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC20cat.fastq,1,20,1939,HG01939,ATM,24,HG01939_ATM_24
21,1924-5-4,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC21cat.fastq,1,21,1924,HG01924,5,4,HG01924_5_4
22,1924-0.00-0,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC22cat.fastq,1,22,1924,HG01924,ATM,0,HG01924_ATM_0
23,1939-5-48,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC23cat.fastq,1,23,1939,HG01939,5,48,HG01939_5_48
24,1918-ATM-48,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC24cat.fastq,1,24,1918,HG01918,ATM,48,HG01918_ATM_48
25,1924-ATM-4,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC25cat.fastq,1,25,1924,HG01924,ATM,4,HG01924_ATM_4
26,1924-5-24,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC26cat.fastq,1,26,1924,HG01924,5,24,HG01924_5_24
27,1939-2.50-24,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC27cat.fastq,1,27,1939,HG01939,2.5,24,HG01939_2.5_24
28,1566-2.50-4,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC28cat.fastq,1,28,1566,HG01566,2.5,4,HG01566_2.5_4
29,1566-ATM-48,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC29cat.fastq,1,29,1566,HG01566,ATM,48,HG01566_ATM_48
30,1918-ATM-24,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC30cat.fastq,1,30,1918,HG01918,ATM,24,HG01918_ATM_24
31,1566-5-4,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC31cat.fastq,1,31,1566,HG01566,5,4,HG01566_5_4
32,978-2.50-4,batch3,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC32cat.fastq,1,32,978,HG00978,2.5,4,HG00978_2.5_4
33,1566-5-24,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC33cat.fastq,1,33,1566,HG01566,5,24,HG01566_5_24
34,1566-0.00-0,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC34cat.fastq,1,34,1566,HG01566,ATM,0,HG01566_ATM_0
35,1918-ATM-4,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC35cat.fastq,1,35,1918,HG01918,ATM,4,HG01918_ATM_4
36,1924-ATM-24,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC36cat.fastq,1,36,1924,HG01924,ATM,24,HG01924_ATM_24
37,1924-ATM-48,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC37cat.fastq,1,37,1924,HG01924,ATM,48,HG01924_ATM_48
38,1566-2.50-24,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC38cat.fastq,1,38,1566,HG01566,2.5,24,HG01566_2.5_24
39,2397-2.50-48,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC39cat.fastq,1,39,2397,HG02397,2.5,48,HG02397_2.5_48
40,978-ATM-48,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC40cat.fastq,1,40,978,HG00978,ATM,48,HG00978_ATM_48
41,2397-ATM-48,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC41cat.fastq,1,41,2397,HG02397,ATM,48,HG02397_ATM_48
42,1566-ATM-4,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC42cat.fastq,1,42,1566,HG01566,ATM,4,HG01566_ATM_4
43,1939-5-4,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC43cat.fastq,1,43,1939,HG01939,5,4,HG01939_5_4
44,1918-5-24,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC44cat.fastq,1,44,1918,HG01918,5,24,HG01918_5_24
45,978-ATM-24,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC45cat.fastq,1,45,978,HG00978,ATM,24,HG00978_ATM_24
46,2397-5-48,batch4,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC46cat.fastq,1,46,2397,HG02397,5,48,HG02397_5_48
47,978-5-48,batch5,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC47cat.fastq,1,47,978,HG00978,5,48,HG00978_5_48
48,2397-2.50-4,batch5,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC48cat.fastq,1,48,2397,HG02397,2.5,4,HG02397_2.5_4
49,1939-ATM-4,batch5,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC49cat.fastq,1,49,1939,HG01939,ATM,4,HG01939_ATM_4
50,2397-ATM-24,batch5,/data/cephfs/punim0586/rkano/VEGFA/1_VEGFA/porechop/cat/BC50cat.fastq,1,50,2397,HG02397,ATM,24,HG02397_ATM_24
51,1939-0.00-0,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC61cat.fastq,2,61,1939,HG01939,ATM,0,HG01939_ATM_0
52,978-2.50-48,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC62cat.fastq,2,62,978,HG00978,2.5,48,HG00978_2.5_48
53,1918-0.00-0,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC51cat.fastq,2,51,1918,HG01918,ATM,0,HG01918_ATM_0
54,1939-5-24,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC52cat.fastq,2,52,1939,HG01939,5,24,HG01939_5_24
55,1566-2.50-48,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC53cat.fastq,2,53,1566,HG01566,2.5,48,HG01566_2.5_48
56,1918-2.50-4,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC54cat.fastq,2,54,1918,HG01918,2.5,4,HG01918_2.5_4
57,1939-2.50-4,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC55cat.fastq,2,55,1939,HG01939,2.5,4,HG01939_2.5_4
58,978-5-4,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC56cat.fastq,2,56,978,HG00978,5,4,HG00978_5_4
59,1924-2.50-48,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC57cat.fastq,2,57,1924,HG01924,2.5,48,HG01924_2.5_48
60,1918-2.50-24,batch5,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC58cat.fastq,2,58,1918,HG01918,2.5,24,HG01918_2.5_24
61,2190-2.5-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC59cat.fastq,2,59,2190,HG02190,2.5,48,HG02190_2.5_48
62,1578-Atm-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC60cat.fastq,2,60,1578,HG01578,Atm,4,HG01578_Atm_4
63,2390-2.5-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC73cat.fastq,2,73,2390,HG02390,2.5,48,HG02390_2.5_48
64,2187-5-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC74cat.fastq,2,74,2187,HG02187,5,4,HG02187_5_4
65,2187-2.5-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC63cat.fastq,2,63,2187,HG02187,2.5,48,HG02187_2.5_48
66,2390-5-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC64cat.fastq,2,64,2390,HG02390,5,4,HG02390_5_4
67,2390-Atm-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC65cat.fastq,2,65,2390,HG02390,Atm,4,HG02390_Atm_4
68,2190-Atm-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC66cat.fastq,2,66,2190,HG02190,Atm,24,HG02190_Atm_24
69,2187-5-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC67cat.fastq,2,67,2187,HG02187,5,48,HG02187_5_48
70,1578-Atm-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC68cat.fastq,2,68,1578,HG01578,Atm,24,HG01578_Atm_24
71,1578-2.5-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC69cat.fastq,2,69,1578,HG01578,2.5,4,HG01578_2.5_4
72,2187-Atm-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC70cat.fastq,2,70,2187,HG02187,Atm,48,HG02187_Atm_48
73,2187-5-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC71cat.fastq,2,71,2187,HG02187,5,24,HG02187_5_24
74,2190-5-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC72cat.fastq,2,72,2190,HG02190,5,4,HG02190_5_4
75,2390-Atm-48,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC85cat.fastq,2,85,2390,HG02390,Atm,48,HG02390_Atm_48
76,2187-2.5-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC86cat.fastq,2,86,2187,HG02187,2.5,24,HG02187_2.5_24
77,1578-5-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC75cat.fastq,2,75,1578,HG01578,5,24,HG01578_5_24
78,2190-5-24,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC76cat.fastq,2,76,2190,HG02190,5,24,HG02190_5_24
79,2390-2.5-4,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC77cat.fastq,2,77,2390,HG02390,2.5,4,HG02390_2.5_4
80,2190-0-0,batch6,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC78cat.fastq,2,78,2190,HG02190,ATM,0,HG02190_ATM_0
81,2390-Atm-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC79cat.fastq,2,79,2390,HG02390,Atm,24,HG02390_Atm_24
82,2190-2.5-4,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC80cat.fastq,2,80,2190,HG02190,2.5,4,HG02190_2.5_4
83,2187-0-0,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC81cat.fastq,2,81,2187,HG02187,ATM,0,HG02187_ATM_0
84,1578-5-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC82cat.fastq,2,82,1578,HG01578,5,48,HG01578_5_48
85,2190-Atm-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC83cat.fastq,2,83,2190,HG02190,Atm,48,HG02190_Atm_48
86,2187-Atm-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC84cat.fastq,2,84,2187,HG02187,Atm,24,HG02187_Atm_24
87,2190-Atm-4,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC47cat.fastq,2,47,2190,HG02190,Atm,4,HG02190_Atm_4
88,2190-2.5-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC48cat.fastq,2,48,2190,HG02190,2.5,24,HG02190_2.5_24
89,1578-2.5-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC87cat.fastq,2,87,1578,HG01578,2.5,48,HG01578_2.5_48
90,1578-2.5-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC88cat.fastq,2,88,1578,HG01578,2.5,24,HG01578_2.5_24
91,2390-5-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC89cat.fastq,2,89,2390,HG02390,5,48,HG02390_5_48
92,1578-0-0,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC90cat.fastq,2,90,1578,HG01578,ATM,0,HG01578_ATM_0
93,1578-5-4,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC91cat.fastq,2,91,1578,HG01578,5,4,HG01578_5_4
94,2390-2.5-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC92cat.fastq,2,92,2390,HG02390,2.5,24,HG02390_2.5_24
95,2390-0-0,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC93cat.fastq,2,93,2390,HG02390,ATM,0,HG02390_ATM_0
96,2187-Atm-4,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC94cat.fastq,2,94,2187,HG02187,Atm,4,HG02187_Atm_4
97,2390-5-24,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC95cat.fastq,2,95,2390,HG02390,5,24,HG02390_5_24
98,1578-Atm-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC96cat.fastq,2,96,1578,HG01578,Atm,48,HG01578_Atm_48
99,2190-5-48,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC49cat.fastq,2,49,2190,HG02190,5,48,HG02190_5_48
100,2187-2.5-4,batch7,/data/cephfs/punim0586/rkano/VEGFA/2_VEGFA/porechop/cat/BC50cat.fastq,2,50,2187,HG02187,2.5,4,HG02187_2.5_4